ph,ec,orp,turbidite,debi,delta_basinc,sinif
7.27,1.72,325.0,21.5,2.86,0.699,kimyasal
7.54,0.89,54.0,18.1,2.84,0.14,biyolojik
6.95,1.57,347.0,36.9,3.72,0.746,fiziksel
7.12,1.29,317.0,31.2,2.89,0.418,fiziksel
6.49,1.49,199.0,10.8,3.13,0.119,biyolojik
5.87,1.74,88.0,23.1,3.27,0.367,biyolojik
7.39,1.5,103.0,17.5,3.79,0.407,biyolojik
6.46,0.94,475.0,28.9,1.89,0.392,fiziksel
6.51,1.18,318.0,38.5,2.38,0.636,fiziksel
6.09,1.91,388.0,41.6,2.11,0.543,fiziksel
6.78,1.43,68.0,18.9,2.01,0.291,biyolojik
7.56,0.77,355.0,6.4,0.44,0.052,fiziksel
7.08,1.92,106.0,29.9,4.72,0.518,biyolojik
8.02,3.31,336.0,6.1,1.89,0.354,kimyasal
6.61,1.49,22.0,40.8,3.37,0.552,biyolojik
8.8,1.87,372.0,8.2,2.39,0.302,kimyasal
7.44,1.48,415.0,60.0,2.35,0.742,fiziksel
6.81,1.42,184.0,30.4,2.77,0.283,biyolojik
6.35,1.35,355.0,37.6,2.29,0.863,fiziksel
7.93,1.59,379.0,1.4,3.74,0.074,normal
6.75,1.1,263.0,3.1,3.7,0.023,normal
6.13,1.13,347.0,33.4,1.68,0.575,fiziksel
5.94,1.45,358.0,6.1,4.01,0.179,normal
7.13,1.88,100.0,21.9,3.54,0.38,biyolojik
8.5,1.47,329.0,4.2,2.92,0.3,biyolojik
9.27,4.35,309.0,5.0,2.12,0.217,kimyasal
5.85,1.4,324.0,20.2,3.04,0.445,biyolojik
7.78,1.96,366.0,60.0,2.83,0.919,fiziksel
6.3,2.0,-6.0,18.1,3.04,0.24,biyolojik
7.63,1.29,215.0,9.5,2.75,0.108,biyolojik
7.37,2.58,240.0,17.2,3.01,0.283,kimyasal
6.0,0.73,164.0,17.4,3.15,0.087,biyolojik
5.76,0.97,144.0,16.1,3.35,0.252,biyolojik
6.63,1.18,271.0,36.3,2.4,0.918,fiziksel
7.03,2.19,317.0,6.4,3.1,0.034,normal
7.05,1.6,219.0,23.8,2.39,0.312,biyolojik
6.88,1.39,441.0,0.0,1.75,0.452,fiziksel
9.0,4.5,272.0,3.8,1.03,0.426,kimyasal
7.5,2.68,310.0,20.8,2.45,0.398,kimyasal
6.59,1.38,326.0,17.9,1.61,0.338,fiziksel
7.63,1.12,360.0,19.5,2.26,0.707,fiziksel
7.07,0.52,95.0,0.0,2.64,0.321,biyolojik
7.92,3.35,325.0,18.3,1.89,0.605,kimyasal
7.07,1.12,496.0,5.6,3.91,0.02,normal
6.42,0.3,304.0,25.1,2.32,0.539,fiziksel
8.05,2.3,303.0,16.7,1.65,0.216,kimyasal
8.24,3.62,302.0,5.9,2.95,0.121,kimyasal
7.06,0.88,207.0,18.6,3.07,0.269,biyolojik
7.04,1.82,325.0,14.3,2.49,0.323,biyolojik
6.51,1.12,364.0,39.9,3.45,0.525,fiziksel
6.5,0.71,275.0,14.9,2.57,0.304,biyolojik
9.14,2.06,378.0,12.6,3.6,0.563,kimyasal
8.86,2.24,378.0,16.9,2.04,0.481,kimyasal
7.39,1.01,386.0,30.2,2.46,0.635,fiziksel
8.9,3.73,319.0,9.4,2.7,0.513,kimyasal
6.1,0.95,50.0,13.4,1.97,0.208,biyolojik
7.1,0.68,500.0,6.4,0.57,0.434,fiziksel
6.8,1.34,309.0,3.3,3.81,0.067,normal
7.16,0.81,318.0,1.8,1.56,0.258,fiziksel
7.57,1.05,235.0,6.6,2.93,0.234,biyolojik
7.39,1.1,131.0,26.8,2.79,0.545,biyolojik
7.52,1.39,336.0,4.6,3.39,0.137,normal
8.61,2.54,377.0,11.3,2.42,0.33,kimyasal
8.3,3.82,296.0,5.0,1.97,0.267,kimyasal
6.64,0.77,253.0,22.3,3.89,0.141,biyolojik
7.31,1.59,170.0,30.6,2.6,0.404,biyolojik
8.17,3.35,291.0,9.2,4.21,0.517,kimyasal
9.8,3.55,399.0,5.2,3.31,0.168,kimyasal
6.88,1.24,389.0,32.3,2.17,0.564,fiziksel
7.01,1.0,230.0,26.4,2.11,0.522,biyolojik
6.09,0.64,374.0,43.1,2.61,0.815,fiziksel
6.59,1.16,113.0,12.7,3.27,0.214,biyolojik
7.38,1.13,343.0,4.8,3.91,0.076,normal
7.39,2.48,373.0,21.7,2.65,0.329,biyolojik
6.65,2.06,337.0,26.9,2.59,0.116,biyolojik
8.55,2.82,229.0,4.7,2.79,0.355,kimyasal
7.4,2.89,370.0,11.0,2.84,0.272,kimyasal
7.28,0.96,438.0,2.3,3.76,0.115,normal
8.69,3.8,443.0,7.5,1.51,0.322,kimyasal
7.21,1.33,81.0,27.7,2.53,0.244,biyolojik
8.25,3.48,351.0,22.1,3.02,0.758,kimyasal
8.66,3.53,217.0,16.4,2.18,0.416,kimyasal
7.34,1.7,453.0,2.1,4.25,0.136,normal
7.21,2.51,265.0,11.4,2.44,0.257,kimyasal
6.94,1.31,266.0,14.7,2.65,0.666,kimyasal
6.58,2.53,174.0,22.7,3.16,0.334,biyolojik
6.38,2.06,248.0,33.3,3.75,0.493,biyolojik
6.96,1.23,267.0,23.8,1.91,0.095,fiziksel
7.55,2.22,373.0,30.5,2.85,0.596,fiziksel
6.36,0.74,307.0,22.2,3.3,0.361,biyolojik
5.81,1.03,337.0,60.0,3.36,0.801,fiziksel
6.38,0.98,398.0,21.4,2.7,0.561,fiziksel
7.74,1.09,500.0,31.6,1.45,0.474,fiziksel
6.74,1.82,189.0,25.0,2.39,0.124,biyolojik
7.06,0.96,161.0,21.7,2.4,0.276,biyolojik
8.03,1.18,242.0,0.0,2.7,0.155,kimyasal
5.49,1.17,86.0,30.1,2.75,0.121,biyolojik
7.05,1.26,394.0,4.0,1.12,0.267,fiziksel
8.18,2.41,323.0,13.0,3.62,0.329,kimyasal
8.23,2.87,318.0,14.4,3.67,0.423,kimyasal
7.34,1.04,416.0,44.3,1.33,0.451,fiziksel
8.28,3.47,281.0,20.1,4.07,0.71,kimyasal
7.2,1.67,174.0,0.0,1.66,0.201,biyolojik
7.43,2.46,267.0,19.1,2.84,0.189,biyolojik
8.86,3.84,284.0,12.3,2.45,0.299,kimyasal
7.98,1.48,201.0,12.6,2.18,0.253,biyolojik
6.71,0.52,237.0,14.8,2.65,0.429,biyolojik
6.91,1.91,50.0,17.0,2.54,0.265,biyolojik
6.3,0.77,266.0,3.2,3.83,0.02,normal
5.69,0.72,368.0,3.0,3.56,0.121,normal
6.95,0.87,423.0,20.7,3.24,0.257,normal
8.5,1.81,246.0,8.5,2.4,0.209,kimyasal
6.82,1.77,192.0,28.7,2.54,0.138,biyolojik
6.5,2.1,250.0,0.0,1.3,0.555,fiziksel
6.8,1.26,319.0,2.2,3.97,0.079,normal
7.49,0.71,238.0,49.8,1.95,0.916,fiziksel
6.61,1.69,378.0,49.9,1.06,0.808,fiziksel
7.79,1.95,283.0,26.3,1.55,0.346,fiziksel
7.61,1.28,470.0,0.0,1.14,0.3,fiziksel
6.94,1.27,401.0,13.2,0.98,0.568,fiziksel
6.42,1.38,311.0,19.3,3.17,0.333,biyolojik
8.11,1.8,293.0,7.7,1.82,0.283,kimyasal
7.08,1.54,384.0,29.6,1.06,0.276,fiziksel
7.53,0.82,305.0,32.0,2.68,1.0,fiziksel
5.8,1.83,273.0,22.2,3.62,0.207,biyolojik
5.71,1.87,28.0,10.3,3.18,0.455,biyolojik
6.0,1.58,246.0,20.8,3.67,0.364,biyolojik
6.47,1.41,129.0,16.4,2.92,0.217,biyolojik
6.98,1.01,347.0,24.1,1.65,0.766,fiziksel
6.48,1.3,357.0,29.0,2.04,0.414,biyolojik
7.9,2.28,316.0,7.3,3.1,0.306,kimyasal
7.9,1.59,223.0,6.5,3.11,0.162,normal
7.01,0.93,441.0,7.2,4.81,0.178,normal
6.76,1.67,366.0,33.3,1.73,0.361,fiziksel
8.49,2.17,336.0,10.4,1.63,0.286,kimyasal
6.48,0.74,397.0,50.1,0.97,0.721,fiziksel
7.81,0.92,367.0,4.4,4.01,0.11,normal
7.6,1.43,289.0,14.1,2.48,0.323,kimyasal
9.49,2.77,226.0,6.2,1.7,0.505,kimyasal
7.27,1.44,249.0,13.0,3.39,0.208,biyolojik
7.52,1.77,406.0,21.3,2.44,0.344,kimyasal
6.69,0.76,409.0,0.2,4.35,0.121,normal
7.35,1.66,341.0,14.4,3.03,0.333,biyolojik
6.36,2.67,353.0,21.8,2.67,0.444,biyolojik
8.01,2.0,371.0,5.0,4.03,0.554,kimyasal
7.37,0.54,495.0,7.1,3.87,0.02,normal
7.3,1.24,449.0,39.6,1.49,0.834,fiziksel
6.48,1.12,193.0,13.9,4.2,0.176,normal
8.85,3.21,218.0,18.0,1.47,0.282,kimyasal
6.39,1.44,35.0,21.7,2.22,0.476,biyolojik
7.39,3.11,183.0,7.4,2.69,0.284,kimyasal
9.53,2.31,292.0,0.1,2.1,0.175,kimyasal
7.38,1.91,290.0,19.6,2.31,0.59,fiziksel
5.8,0.83,68.0,19.6,2.34,0.462,biyolojik
8.11,1.7,345.0,8.6,3.27,0.087,biyolojik
7.91,0.53,294.0,39.8,0.95,0.76,fiziksel
6.72,1.14,493.0,27.6,2.96,0.493,fiziksel
7.73,0.99,466.0,47.0,2.05,1.0,fiziksel
8.91,2.74,284.0,9.6,2.95,0.416,kimyasal
7.52,2.97,247.0,11.6,3.21,0.395,kimyasal
6.52,1.85,189.0,8.0,3.63,0.556,biyolojik
7.79,1.03,500.0,45.7,2.75,0.461,fiziksel
9.44,3.11,238.0,12.1,3.58,0.238,kimyasal
7.08,1.65,284.0,18.4,2.13,0.664,fiziksel
8.7,3.61,369.0,14.6,3.02,0.671,kimyasal
6.94,1.37,117.0,19.4,2.49,0.199,biyolojik
5.38,1.38,154.0,14.9,3.58,0.333,biyolojik
6.79,0.67,263.0,26.7,2.65,0.424,biyolojik
6.83,1.46,435.0,1.7,3.99,0.02,normal
6.81,1.72,215.0,21.1,2.94,0.239,biyolojik
7.4,0.98,325.0,6.0,3.83,0.147,normal
6.77,2.45,135.0,13.7,3.03,0.376,biyolojik
7.99,2.17,478.0,5.3,2.58,0.406,kimyasal
6.54,1.26,278.0,21.6,3.71,0.241,biyolojik
7.98,2.42,380.0,1.7,2.62,0.646,kimyasal
7.12,1.7,137.0,20.0,1.95,0.358,biyolojik
6.93,1.98,53.0,22.9,2.8,0.42,biyolojik
6.83,1.88,278.0,21.6,2.8,0.19,biyolojik
7.79,1.67,434.0,33.8,2.59,0.776,fiziksel
7.75,0.68,372.0,5.8,3.33,0.104,normal
7.53,1.86,293.0,0.0,4.1,0.204,normal
7.01,1.61,475.0,4.7,3.83,0.183,normal
7.61,2.52,329.0,13.3,2.47,0.388,kimyasal
7.14,0.91,377.0,6.1,4.75,0.175,normal
7.39,1.7,302.0,8.3,0.57,0.352,kimyasal
7.74,1.36,264.0,3.5,4.58,0.081,normal
7.16,1.1,342.0,16.6,2.48,0.427,fiziksel
5.99,1.17,296.0,40.5,1.89,0.73,fiziksel
7.41,1.13,332.0,0.8,3.62,0.161,normal
7.01,1.39,251.0,4.1,4.6,0.153,normal
6.9,1.53,185.0,34.8,3.09,0.279,biyolojik
6.43,1.61,182.0,12.3,1.47,0.261,biyolojik
6.72,1.54,460.0,1.8,3.86,0.137,normal
7.15,1.6,410.0,4.2,4.14,0.149,normal
6.45,1.8,429.0,18.2,0.91,0.24,fiziksel
7.0,1.43,280.0,32.8,1.85,0.425,fiziksel
8.21,2.5,264.0,15.7,3.97,0.431,kimyasal
6.7,1.01,223.0,21.0,1.63,0.548,fiziksel
5.6,2.03,121.0,10.8,2.33,0.304,biyolojik
6.41,1.21,313.0,5.8,4.25,0.02,normal
7.97,3.34,390.0,11.3,3.02,0.613,kimyasal
8.61,2.2,174.0,18.2,3.27,0.305,kimyasal
7.8,1.31,267.0,13.9,1.37,0.285,fiziksel
7.28,1.9,314.0,23.3,3.04,0.564,biyolojik
6.8,1.46,254.0,15.0,2.98,0.389,biyolojik
7.44,1.41,271.0,6.8,3.2,0.171,normal
6.62,1.44,282.0,37.4,2.21,0.638,fiziksel
7.04,1.23,80.0,21.7,1.15,0.144,biyolojik
6.91,1.75,262.0,7.9,3.5,0.096,biyolojik
7.32,1.37,470.0,4.7,3.64,0.04,normal
7.83,2.48,214.0,11.5,2.99,0.335,kimyasal
6.34,0.82,340.0,6.5,4.29,0.147,normal
7.17,1.1,397.0,42.3,2.99,1.0,fiziksel
6.36,1.83,272.0,23.4,3.72,0.438,biyolojik
6.84,1.0,78.0,28.6,2.96,0.523,biyolojik
6.2,1.23,301.0,31.0,1.59,0.684,fiziksel
6.48,2.2,247.0,53.3,2.97,0.625,fiziksel
6.34,0.46,403.0,55.2,0.74,0.484,fiziksel
6.04,0.78,-6.0,27.4,2.6,0.324,biyolojik
6.34,1.97,156.0,13.5,2.73,0.295,biyolojik
9.33,2.9,228.0,11.7,4.19,0.686,kimyasal
8.15,2.97,330.0,8.7,3.64,0.285,kimyasal
6.92,1.76,193.0,32.4,1.98,0.57,fiziksel
7.86,4.03,382.0,24.3,2.3,0.511,kimyasal
7.06,3.12,159.0,17.1,3.46,0.357,biyolojik
7.72,2.04,361.0,6.3,2.99,0.21,normal
6.84,0.64,185.0,47.0,1.51,0.733,fiziksel
6.92,1.89,92.0,26.5,3.47,0.14,biyolojik
8.25,2.03,306.0,10.3,2.2,0.687,kimyasal
7.8,2.26,260.0,28.4,2.71,0.505,fiziksel
6.91,1.35,243.0,12.2,0.83,0.775,fiziksel
6.61,1.23,346.0,1.7,3.7,0.036,normal
7.23,1.16,251.0,5.3,3.1,0.02,normal
6.17,1.53,375.0,60.0,3.13,0.895,fiziksel
6.29,1.76,296.0,15.9,1.17,0.458,fiziksel
8.57,3.71,345.0,11.8,3.44,0.389,kimyasal
7.45,3.04,220.0,12.3,2.93,0.395,biyolojik
6.71,1.7,241.0,37.4,2.43,0.549,fiziksel
6.66,0.47,352.0,35.3,2.29,0.641,fiziksel
6.9,0.62,452.0,3.9,3.95,0.131,normal
6.29,1.11,-6.0,0.0,2.09,0.43,biyolojik
6.25,1.71,52.0,0.1,2.49,0.087,biyolojik
7.01,1.07,309.0,28.6,2.46,0.326,biyolojik
6.25,0.55,138.0,16.6,3.33,0.488,biyolojik
7.14,0.35,371.0,4.9,4.01,0.164,normal
7.22,1.53,317.0,36.5,3.62,0.198,biyolojik
6.12,0.88,187.0,28.7,2.99,0.358,biyolojik
6.41,1.09,373.0,39.6,1.83,0.54,fiziksel
5.95,1.8,99.0,36.6,3.06,0.247,biyolojik
6.36,0.88,227.0,24.5,2.91,0.276,biyolojik
6.74,0.83,340.0,28.5,4.02,0.519,fiziksel
6.1,1.75,212.0,21.1,2.57,0.153,biyolojik
6.63,1.09,323.0,31.9,0.55,0.545,fiziksel
6.29,1.47,279.0,21.9,2.03,0.525,fiziksel
8.54,1.86,413.0,13.7,3.23,0.499,kimyasal
8.06,1.24,321.0,42.8,1.52,0.494,fiziksel
6.1,1.46,185.0,26.1,2.69,0.231,biyolojik
6.79,0.37,55.0,15.0,2.64,0.282,biyolojik
6.35,1.02,353.0,2.5,2.57,0.147,normal
6.27,1.13,227.0,34.4,2.77,0.328,biyolojik
6.56,2.06,175.0,24.7,2.46,0.378,biyolojik
7.1,1.43,174.0,28.8,2.13,0.338,biyolojik
7.28,1.61,325.0,4.8,3.03,0.17,normal
7.31,2.08,196.0,38.5,2.87,0.276,biyolojik
6.03,1.98,332.0,26.0,1.93,0.079,biyolojik
8.88,3.69,256.0,13.9,2.7,0.551,kimyasal
7.35,1.98,354.0,0.0,3.89,0.146,normal
6.23,1.37,163.0,13.0,3.11,0.228,biyolojik
8.41,2.12,303.0,22.0,1.83,0.785,kimyasal
7.53,1.3,395.0,37.3,1.9,0.473,fiziksel
6.54,0.73,177.0,14.7,3.91,0.272,biyolojik
6.91,1.28,377.0,30.6,1.48,0.704,fiziksel
6.87,1.09,330.0,34.5,1.97,0.826,fiziksel
6.02,1.23,368.0,47.2,2.52,0.983,fiziksel
6.26,2.25,82.0,28.0,3.1,0.335,biyolojik
7.23,1.27,415.0,1.9,3.33,0.12,normal
7.87,2.31,281.0,8.5,3.24,0.676,kimyasal
6.15,1.12,158.0,9.8,3.5,0.149,biyolojik
8.07,2.56,322.0,8.1,2.11,0.247,kimyasal
6.47,1.14,256.0,32.9,3.87,0.264,biyolojik
8.78,2.88,332.0,0.4,2.42,0.448,kimyasal
6.37,1.33,216.0,30.1,1.97,0.371,biyolojik
7.35,1.33,250.0,29.6,3.91,0.343,biyolojik
7.47,1.56,326.0,6.7,0.2,0.205,fiziksel
7.37,1.37,24.0,19.2,3.12,0.232,biyolojik
8.33,2.57,311.0,3.0,2.88,0.603,kimyasal
6.02,2.76,174.0,30.1,3.71,0.375,biyolojik
7.21,1.87,500.0,60.0,3.19,1.0,fiziksel
5.18,1.17,257.0,22.0,3.55,0.514,biyolojik
5.8,1.43,315.0,13.0,1.9,0.192,biyolojik
8.19,1.96,362.0,7.9,3.26,0.14,kimyasal
6.06,1.42,228.0,28.8,3.13,0.291,biyolojik
7.4,0.97,452.0,35.1,0.62,0.782,fiziksel
6.79,2.03,256.0,22.0,3.01,0.443,biyolojik
5.9,1.72,8.0,19.0,2.8,0.376,biyolojik
7.97,2.85,216.0,14.5,3.2,0.558,kimyasal
7.61,1.95,156.0,12.2,2.46,0.076,biyolojik
5.82,0.74,213.0,30.8,3.0,0.253,biyolojik
7.33,1.08,391.0,31.5,2.89,0.491,fiziksel
6.88,1.28,135.0,15.5,3.68,0.478,biyolojik
5.37,1.46,169.0,35.5,2.93,0.286,biyolojik
5.6,1.27,242.0,20.5,2.63,0.589,biyolojik
8.38,2.86,423.0,14.3,3.87,0.467,kimyasal
6.92,1.7,195.0,12.4,3.45,0.064,biyolojik
6.34,0.98,330.0,26.2,2.02,1.0,fiziksel
9.12,3.84,267.0,9.8,2.25,0.394,kimyasal
6.13,0.82,319.0,21.2,2.86,0.244,biyolojik
5.95,2.11,171.0,6.5,3.36,0.41,biyolojik
6.47,1.62,150.0,39.0,3.54,0.433,biyolojik
7.56,2.26,118.0,0.0,2.32,0.02,biyolojik
6.95,2.99,243.0,22.5,3.78,0.29,biyolojik
5.92,1.44,273.0,37.2,1.83,0.299,fiziksel
7.07,0.96,316.0,51.1,2.19,0.786,fiziksel
7.71,1.84,417.0,29.9,2.7,0.77,fiziksel
6.71,1.07,267.0,37.5,2.31,0.655,fiziksel
6.92,0.85,443.0,40.8,3.01,0.699,fiziksel
6.22,1.39,197.0,17.9,2.77,0.395,biyolojik
7.92,1.15,355.0,36.2,2.51,0.697,fiziksel
7.74,1.59,404.0,39.8,2.54,0.789,fiziksel
6.03,2.3,84.0,13.3,2.86,0.251,biyolojik
7.37,0.3,151.0,28.2,3.28,0.46,biyolojik
7.79,1.07,499.0,3.4,5.0,0.087,normal
6.45,1.63,210.0,25.3,2.39,0.079,biyolojik
8.2,2.07,207.0,11.8,3.09,0.394,biyolojik
6.23,1.74,151.0,17.0,2.8,0.059,biyolojik
7.13,2.29,195.0,16.7,3.39,0.405,biyolojik
7.27,0.49,405.0,41.4,0.2,0.323,fiziksel
7.26,1.16,386.0,2.8,3.76,0.126,normal
7.9,1.34,308.0,0.7,4.18,0.087,normal
6.49,2.06,116.0,18.6,2.93,0.373,biyolojik
8.2,1.15,162.0,31.8,3.8,0.396,biyolojik
6.28,2.08,408.0,22.3,2.1,0.229,fiziksel
6.04,2.66,316.0,9.4,3.53,0.165,biyolojik
5.52,0.3,146.0,5.5,2.31,0.172,biyolojik
8.87,3.33,304.0,12.1,1.66,0.486,kimyasal
7.04,1.23,432.0,50.0,2.55,0.931,fiziksel
8.22,3.85,351.0,8.7,1.94,0.02,kimyasal
8.76,3.1,440.0,8.4,1.78,0.346,kimyasal
6.56,1.76,230.0,40.3,3.84,0.421,biyolojik
7.03,2.28,181.0,23.1,1.95,0.213,biyolojik
6.61,2.07,86.0,8.0,2.51,0.167,biyolojik
6.24,0.49,360.0,7.4,1.15,0.387,fiziksel
7.79,1.0,242.0,13.0,3.61,0.44,kimyasal
7.41,1.19,375.0,15.8,3.21,0.478,fiziksel
7.73,0.98,343.0,18.3,1.44,0.02,fiziksel
6.94,1.33,248.0,53.2,2.72,0.772,fiziksel
6.63,1.65,89.0,21.2,3.28,0.259,biyolojik
6.95,1.31,402.0,4.7,4.08,0.109,normal
6.23,1.45,96.0,26.5,3.46,0.139,biyolojik
7.6,1.48,304.0,0.3,3.63,0.122,normal
7.67,1.51,237.0,6.0,2.95,0.279,biyolojik
6.6,1.17,321.0,2.7,4.55,0.124,normal
6.69,1.24,379.0,5.2,1.95,0.355,fiziksel
6.8,1.39,119.0,32.1,3.37,0.712,biyolojik
7.12,1.1,282.0,27.2,2.61,0.36,biyolojik
6.65,1.64,215.0,34.1,2.47,0.563,biyolojik
7.28,1.17,422.0,6.3,0.2,0.794,fiziksel
7.32,1.18,213.0,11.3,1.93,0.176,biyolojik
6.52,1.37,27.0,13.1,3.89,0.358,biyolojik
7.4,1.12,410.0,13.0,1.7,0.385,fiziksel
7.04,0.81,500.0,44.7,0.77,0.023,fiziksel
8.27,1.53,333.0,13.0,2.12,0.201,kimyasal
8.26,1.82,279.0,7.7,2.96,0.178,kimyasal
7.33,0.7,69.0,7.1,1.87,0.269,biyolojik
7.1,1.42,436.0,1.3,3.41,0.048,normal
5.7,1.47,25.0,40.1,3.75,0.331,biyolojik
6.43,1.02,478.0,40.0,1.76,0.448,fiziksel
7.05,1.26,402.0,24.8,3.52,0.685,fiziksel
6.64,1.79,-1.0,10.0,1.94,0.171,biyolojik
6.8,1.5,259.0,4.8,4.08,0.191,normal
6.49,0.74,298.0,53.6,2.44,0.409,fiziksel
6.01,2.09,207.0,13.6,2.45,0.249,biyolojik
7.23,1.2,232.0,9.5,3.29,0.261,biyolojik
7.35,0.82,283.0,60.0,2.89,0.877,fiziksel
5.98,1.52,275.0,22.0,3.49,0.206,biyolojik
7.36,2.69,327.0,11.6,1.78,0.601,kimyasal
7.49,1.4,180.0,21.2,3.7,0.27,biyolojik
6.27,2.0,15.0,23.2,3.16,0.324,biyolojik
6.43,2.46,-4.0,24.5,2.79,0.496,biyolojik
7.78,3.3,389.0,13.2,3.03,0.189,kimyasal
7.63,2.46,247.0,17.7,2.96,0.374,biyolojik
7.43,1.56,116.0,9.2,3.82,0.175,biyolojik
8.43,2.98,304.0,15.2,2.62,0.596,kimyasal
6.05,1.0,243.0,18.8,2.71,0.265,biyolojik
6.76,1.78,394.0,54.8,1.74,1.0,fiziksel
7.43,1.18,340.0,46.3,1.99,0.592,fiziksel
6.19,1.37,333.0,11.8,3.11,0.146,biyolojik
6.77,1.01,291.0,43.0,1.74,0.456,fiziksel
6.67,1.39,312.0,31.0,1.22,0.538,fiziksel
6.35,0.98,325.0,29.7,1.22,0.28,fiziksel
6.66,1.06,242.0,38.3,2.53,0.422,biyolojik
7.3,1.67,227.0,7.3,2.24,0.275,biyolojik
6.28,1.67,70.0,19.2,3.97,0.157,biyolojik
7.03,0.59,400.0,14.0,3.32,0.265,normal
8.08,1.22,296.0,46.0,2.01,0.594,fiziksel
7.14,3.01,321.0,4.0,2.57,0.243,kimyasal
5.35,1.82,64.0,26.9,4.73,0.359,biyolojik
6.55,0.91,226.0,14.6,3.21,0.311,biyolojik
6.89,1.08,286.0,33.7,3.28,0.47,biyolojik
6.67,2.23,249.0,23.6,3.24,0.162,biyolojik
5.89,1.68,230.0,31.6,3.17,0.467,biyolojik
6.27,1.2,182.0,13.7,3.39,0.17,biyolojik
7.69,1.71,389.0,11.9,0.6,0.44,fiziksel
7.35,1.33,250.0,33.9,1.33,0.512,fiziksel
6.16,1.68,131.0,3.9,3.24,0.218,biyolojik
7.72,1.87,348.0,19.8,2.54,0.407,fiziksel
6.93,2.11,206.0,16.3,3.05,0.331,biyolojik
5.2,1.46,257.0,18.2,2.95,0.182,biyolojik
6.18,1.47,283.0,14.3,2.94,0.147,biyolojik
8.96,2.99,196.0,12.9,2.52,0.45,kimyasal
8.61,3.37,479.0,6.2,2.04,0.121,kimyasal
6.96,1.05,341.0,4.1,3.91,0.127,normal
7.24,1.61,350.0,9.1,1.05,0.704,fiziksel
8.02,1.67,301.0,8.2,1.51,0.38,kimyasal
7.74,2.8,309.0,12.8,2.16,0.518,kimyasal
6.67,1.41,389.0,3.3,4.75,0.058,normal
6.83,2.08,189.0,26.4,3.58,0.323,biyolojik
7.29,1.11,440.0,11.9,3.15,0.34,fiziksel
6.84,0.38,404.0,38.0,2.94,0.874,fiziksel
7.05,1.46,321.0,23.8,3.01,0.502,fiziksel
8.04,1.54,294.0,2.0,2.4,0.282,kimyasal
7.68,1.11,306.0,2.3,3.59,0.095,normal
6.98,1.63,154.0,23.5,2.8,0.096,biyolojik
7.38,2.86,218.0,13.9,3.54,0.02,biyolojik
7.84,0.77,380.0,49.3,3.42,0.704,fiziksel
7.04,0.96,296.0,52.0,2.11,0.729,fiziksel
8.13,3.26,308.0,2.3,1.68,0.222,kimyasal
7.51,1.14,339.0,0.0,3.75,0.088,normal
7.4,1.88,320.0,14.4,2.35,0.362,fiziksel
6.82,1.45,269.0,21.9,3.05,0.42,biyolojik
8.02,1.18,298.0,26.0,1.13,0.463,fiziksel
7.68,1.27,295.0,29.7,0.3,0.292,fiziksel
6.78,2.38,284.0,0.7,2.93,0.149,biyolojik
7.29,0.99,321.0,23.3,1.28,0.447,fiziksel
7.36,1.93,114.0,29.6,3.94,0.577,biyolojik
7.68,1.77,288.0,3.0,4.1,0.03,normal
7.5,2.23,121.0,30.7,2.76,0.347,biyolojik
9.32,2.06,413.0,9.5,2.98,0.456,kimyasal
6.92,1.31,85.0,0.0,1.87,0.212,biyolojik
6.57,1.41,142.0,14.9,3.4,0.412,biyolojik
7.28,1.34,483.0,41.6,0.2,0.55,fiziksel
7.49,1.14,478.0,50.8,1.8,0.995,fiziksel
7.16,1.37,50.0,23.8,2.62,0.239,biyolojik
8.68,2.86,337.0,4.7,2.12,0.492,kimyasal
6.7,1.3,347.0,30.4,1.72,0.578,biyolojik
6.92,1.21,192.0,12.3,2.8,0.387,biyolojik
7.39,1.5,233.0,29.3,1.0,0.752,fiziksel
8.71,3.35,241.0,8.3,3.55,0.344,kimyasal
7.14,1.41,263.0,4.8,4.37,0.089,normal
8.74,3.35,347.0,10.8,3.6,0.601,kimyasal
6.97,1.47,431.0,20.1,1.84,0.465,fiziksel
7.24,1.48,122.0,16.0,3.89,0.419,biyolojik
7.34,1.78,379.0,25.3,2.8,0.53,kimyasal
7.59,2.08,407.0,35.5,2.15,0.538,fiziksel
6.71,1.36,369.0,3.0,4.34,0.082,normal
5.36,2.49,130.0,23.8,3.4,0.294,biyolojik
6.2,1.05,340.0,20.0,2.59,0.8,fiziksel
6.93,1.48,433.0,34.4,1.3,0.637,fiziksel
6.32,0.94,139.0,15.4,3.54,0.349,biyolojik
7.97,2.11,347.0,2.9,3.75,0.248,kimyasal
6.05,0.44,181.0,27.2,3.0,0.293,biyolojik
7.02,1.26,272.0,33.6,3.31,0.414,biyolojik
7.46,0.96,454.0,19.1,2.46,0.263,normal
8.17,3.56,280.0,10.1,3.42,0.583,kimyasal
8.06,3.12,382.0,3.6,3.12,0.098,kimyasal
5.63,1.21,232.0,8.1,1.82,0.33,biyolojik
5.7,1.98,275.0,45.6,2.04,0.226,biyolojik
6.61,0.47,356.0,38.4,0.65,0.75,fiziksel
7.06,1.69,251.0,32.9,2.2,0.261,biyolojik
6.68,0.8,358.0,58.9,3.72,0.843,fiziksel
6.51,1.57,377.0,4.5,1.3,0.749,fiziksel
